start_token_n_1based,segment_size_c,layer_idx,unique_expert_count_mean,count,std,min,max
-1,12,44,31.468235294117648,2550,5.153543843440421,18,50
-1,12,45,30.974117647058822,2550,5.481818150332021,17,52
-1,12,46,35.082352941176474,2550,5.928523715183068,19,56
-1,12,47,40.9078431372549,2550,6.6384918175821115,18,62
-1,14,0,62.24383561643835,2190,6.188075292443766,34,80
-1,14,1,53.87808219178082,2190,5.287808363472536,34,72
-1,14,2,47.531050228310505,2190,5.032166453556297,28,68
-1,14,3,45.94885844748858,2190,4.871968474253977,31,64
-1,14,4,41.73835616438356,2190,4.736794443492868,24,56
-1,14,5,40.443835616438356,2190,4.6840120447603475,21,56
-1,14,6,30.634703196347033,2190,4.519677426215134,16,46
-1,14,7,28.91415525114155,2190,4.361458613438374,16,45
-1,14,8,34.60776255707763,2190,4.737710076946209,20,52
-1,14,9,34.21050228310502,2190,4.7495501673220515,21,51
-1,14,10,37.92191780821918,2190,4.986305959303267,23,53
-1,14,11,39.14931506849315,2190,4.81594418548608,23,55
-1,14,12,37.089497716894975,2190,4.648958800571869,22,54
-1,14,13,40.69315068493151,2190,5.0812402875556355,23,58
-1,14,14,35.78493150684932,2190,4.647742332496113,23,56
-1,14,15,32.51598173515982,2190,4.591237440288421,20,48
-1,14,16,36.10867579908676,2190,4.427794142504297,21,52
-1,14,17,38.48721461187215,2190,4.534278458267573,23,52
-1,14,18,26.67351598173516,2190,4.663533478759493,13,42
-1,14,19,26.024657534246575,2190,4.190892063441229,15,41
-1,14,20,30.694977168949773,2190,4.568160248216387,18,47
-1,14,21,31.28904109589041,2190,4.8032099147168115,16,47
-1,14,22,35.3013698630137,2190,4.879128121344124,21,51
-1,14,23,37.13059360730593,2190,4.738027407397816,22,54
-1,14,24,34.518264840182646,2190,4.564484893379309,21,49
-1,14,25,39.8041095890411,2190,4.906664853847755,25,57
-1,14,26,34.815981735159816,2190,4.73215146493679,21,52
-1,14,27,32.26438356164383,2190,4.796923119104812,18,48
-1,14,28,35.96073059360731,2190,4.696967074017435,20,53
-1,14,29,38.21187214611872,2190,5.025457863278465,22,54
-1,14,30,25.61324200913242,2190,4.799469666803323,14,44
-1,14,31,25.430593607305937,2190,4.62741301631176,13,44
-1,14,32,30.769406392694062,2190,4.922355109199724,16,47
-1,14,33,31.50228310502283,2190,4.948685452136895,18,48
-1,14,34,36.789954337899545,2190,5.012701044930228,20,55
-1,14,35,38.6337899543379,2190,4.958958998216575,20,54
-1,14,36,36.78904109589041,2190,5.120321884613928,23,53
-1,14,37,42.59315068493151,2190,5.402167697678325,20,62
-1,14,38,37.842465753424655,2190,5.331781105796935,21,54
-1,14,39,34.65981735159817,2190,5.495858481699076,19,51
-1,14,40,37.337899543378995,2190,5.266925092114722,21,61
-1,14,41,40.11187214611872,2190,5.385020224287877,22,59
-1,14,42,38.95616438356164,2190,5.413963967247823,19,59
-1,14,43,33.40547945205479,2190,5.705420240593985,20,54
-1,14,44,33.24977168949772,2190,5.625854582496051,22,55
-1,14,45,32.84200913242009,2190,5.9204925205271435,18,53
-1,14,46,37.27762557077626,2190,6.3786849417849885,21,60
-1,14,47,43.38356164383562,2190,7.102197532096292,19,69
-1,16,0,66.20364583333334,1920,6.330376838032554,39,85
-1,16,1,57.3265625,1920,5.474667860010884,38,75
-1,16,2,50.15416666666667,1920,5.185579810509669,30,69
-1,16,3,48.74635416666667,1920,5.073378931005959,31,67
-1,16,4,44.092708333333334,1920,4.9364643743642755,24,60
-1,16,5,42.692708333333336,1920,4.804825279874731,21,57
-1,16,6,32.155208333333334,1920,4.730008417908966,16,48
-1,16,7,30.36875,1920,4.509206897816545,18,47
-1,16,8,36.5765625,1920,4.922682307526432,23,55
