algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
Alg3_RouterMerge,0.500,4,0.6825,0.2920,0.7193,0.3640,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,5,0.6565,0.2860,0.6209,0.4361,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,6,0.5974,0.2595,0.6533,0.4092,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,7,0.6128,0.3011,0.5968,0.4585,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.500,8,0.6075,0.2886,0.5969,0.4575,0.6856,0.7271,0.6517,0.0000,0.0000
Alg3_RouterMerge,0.250,1,0.6451,0.2514,0.6451,0.2514,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,2,0.6116,0.2224,0.5252,0.3135,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,3,0.5262,0.2766,0.4312,0.3502,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,4,0.5591,0.3164,0.4003,0.3909,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,5,0.6082,0.2655,0.2904,0.3543,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,6,0.4866,0.2566,0.2333,0.3311,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,7,0.5320,0.2700,0.1537,0.2696,0.5582,0.3549,0.2482,0.0000,0.0000
Alg3_RouterMerge,0.250,8,0.4967,0.2816,0.1601,0.2906,0.5582,0.3549,0.2482,0.0000,0.0000
Alg4_ErrorBudget,0.500,1,0.9147,0.0625,0.9147,0.0625,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,2,0.7169,0.2149,0.9144,0.1281,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,3,0.6905,0.2025,0.8501,0.2773,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,4,0.6779,0.2962,0.7580,0.3403,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,5,0.6400,0.2863,0.7083,0.3952,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,6,0.6021,0.2633,0.7293,0.3649,0.6863,0.7747,0.7171,0.0000,0.0000
Alg4_ErrorBudget,0.500,7,0.6256,0.2843,0.6670,0.4370,0.6863,0.7747,0.7171,0.0000,0.0000
